gender,parental_education,test_prep_course,math_score,reading_score,writing_score
male,some college,none,76,71,72
female,master's degree,none,74,79,82
female,associate's degree,completed,94,87,92
male,some college,none,63,61,54
female,associate's degree,completed,95,89,92
female,master's degree,none,40,59,54
female,some high school,none,82,82,80
male,high school,none,68,70,66
male,bachelor's degree,none,55,59,54
male,master's degree,none,79,78,77
female,bachelor's degree,none,86,92,87
male,some college,none,76,71,73
male,some high school,none,64,50,43
male,some high school,none,62,49,52
female,some high school,completed,54,61,62
female,master's degree,completed,77,97,94
female,some high school,completed,76,87,85
female,some college,none,74,89,84
female,some college,completed,66,74,73
female,some high school,completed,66,78,78
female,high school,completed,67,78,79
male,some college,none,71,49,52
female,associate's degree,none,91,86,84
male,bachelor's degree,none,69,58,57
male,master's degree,none,54,59,50
male,high school,completed,53,52,49
male,some college,none,68,60,59
male,some high school,completed,56,61,60
female,high school,none,36,53,43
female,bachelor's degree,none,29,41,47
female,associate's degree,none,62,74,70
female,associate's degree,completed,68,67,73
female,some high school,none,47,54,53
male,associate's degree,completed,62,61,58
female,associate's degree,completed,79,88,94
male,high school,completed,73,69,68
female,bachelor's degree,completed,66,83,83
male,associate's degree,completed,51,60,58
female,high school,none,51,66,62
male,bachelor's degree,completed,85,66,71
male,associate's degree,completed,97,92,86
male,high school,completed,75,69,68
male,associate's degree,completed,79,82,80
female,associate's degree,none,81,77,79
female,associate's degree,none,82,95,89
female,master's degree,none,64,63,66
male,some high school,completed,78,83,80
female,some high school,completed,92,100,97
male,high school,completed,72,67,64
female,high school,none,62,67,64
male,master's degree,none,79,72,69
male,some high school,none,79,76,65
male,bachelor's degree,completed,87,90,88
female,associate's degree,none,40,48,50
male,some college,none,77,62,64
male,associate's degree,none,53,45,40
female,some college,none,32,39,33
female,associate's degree,completed,55,72,79
male,master's degree,none,61,67,66
female,associate's degree,none,53,70,70
male,some high school,none,73,66,62
female,some college,completed,74,75,79
female,some college,none,63,74,74
male,bachelor's degree,completed,96,90,92
female,some college,completed,63,80,80
male,bachelor's degree,none,48,51,46
male,associate's degree,none,48,43,45
female,bachelor's degree,completed,92,100,100
female,master's degree,completed,61,71,78
male,high school,none,63,48,47
male,bachelor's degree,none,68,68,67
male,some college,completed,71,75,70
male,bachelor's degree,none,91,96,92
female,some college,none,53,62,56
female,high school,completed,50,66,64
female,high school,none,74,81,71
male,associate's degree,completed,40,55,53
male,some college,completed,61,51,52
female,high school,none,81,91,89
female,some college,completed,48,56,58
female,master's degree,none,53,61,68
female,some high school,none,81,97,96
female,some high school,none,77,79,80
female,bachelor's degree,none,63,73,78
female,associate's degree,completed,73,75,80
female,some college,none,69,77,77
female,associate's degree,none,65,76,76
female,high school,none,55,73,73
female,bachelor's degree,none,44,63,62
female,some college,none,54,64,65
female,some high school,none,48,66,65
male,some college,none,58,57,54
male,some high school,none,71,62,50
male,bachelor's degree,none,68,68,64
female,high school,none,74,76,73
female,bachelor's degree,completed,92,100,99
female,bachelor's degree,completed,56,79,72
male,high school,none,30,24,15
male,some high school,none,53,54,48
female,high school,none,69,77,73
female,some high school,none,65,82,81
female,master's degree,none,54,60,63
female,high school,none,29,29,30
female,some college,none,76,78,80
male,high school,none,60,57,51
male,master's degree,completed,84,89,90
male,some high school,none,75,72,62
female,associate's degree,none,85,84,82
female,master's degree,none,40,58,54
female,some college,none,61,64,62
female,associate's degree,none,58,63,65
male,some college,completed,69,60,63
female,some college,none,58,59,66
male,bachelor's degree,completed,94,90,91
female,associate's degree,none,65,77,74
female,associate's degree,none,82,93,93
female,high school,none,60,68,72
female,bachelor's degree,none,37,45,38
male,bachelor's degree,none,88,78,83
male,master's degree,none,95,81,84
male,associate's degree,completed,65,73,68
female,high school,none,35,61,54
male,bachelor's degree,none,62,63,56
male,high school,completed,58,51,52
male,some college,completed,100,96,86
female,bachelor's degree,none,61,58,62
male,some college,completed,100,97,99
male,associate's degree,completed,69,70,63
male,associate's degree,none,61,48,46
male,some college,none,49,57,46
female,some high school,completed,44,51,55
male,some college,none,67,64,70
male,high school,none,79,60,65
female,bachelor's degree,completed,66,74,81
female,high school,none,75,88,85
male,some high school,none,84,84,80
male,high school,none,71,74,64
female,high school,completed,67,80,81
female,some high school,completed,80,92,88
male,some college,none,86,76,74
female,associate's degree,none,76,74,73
male,high school,none,41,52,51
female,associate's degree,completed,74,88,90
female,some high school,none,72,81,79
female,high school,completed,74,79,80
male,high school,none,70,65,60
female,bachelor's degree,completed,65,81,81
female,associate's degree,none,59,70,65
female,high school,none,64,62,68
female,high school,none,50,53,55
female,some college,completed,69,79,81
male,some high school,completed,51,56,53
female,high school,completed,68,80,76
female,some college,completed,85,86,98
female,associate's degree,completed,65,70,74
female,some high school,none,73,79,79
female,some college,none,62,67,67
male,associate's degree,none,77,67,64
male,some high school,none,69,66,61
female,associate's degree,none,43,60,58
male,associate's degree,none,90,87,85
male,some college,none,74,77,73
male,some high school,none,73,66,63
female,some college,none,55,71,69
female,high school,none,65,69,67
male,associate's degree,none,80,63,63
female,some high school,completed,50,60,60
female,some college,completed,63,73,71
female,bachelor's degree,none,77,85,87
male,some college,none,73,74,61
male,associate's degree,completed,81,72,77
female,high school,none,66,76,68
male,associate's degree,none,52,57,50
female,some college,none,69,78,76
female,associate's degree,completed,65,84,84
female,high school,completed,69,77,78
female,some college,completed,50,64,66
female,some college,completed,73,78,76
female,some high school,completed,70,82,76
male,associate's degree,none,81,75,78
male,some college,none,63,61,60
female,high school,none,67,72,74
male,high school,none,60,68,60
male,high school,none,62,55,54
female,some high school,completed,29,40,44
male,some college,completed,62,66,68
female,master's degree,completed,94,99,100
male,some college,completed,85,75,68
male,associate's degree,none,77,78,73
male,high school,none,53,58,44
male,some college,none,93,90,83
female,associate's degree,none,49,53,53
female,associate's degree,none,73,76,78
female,bachelor's degree,completed,66,74,81
female,associate's degree,none,77,77,73
female,some high school,none,49,63,56
female,some college,none,79,89,86
female,associate's degree,completed,75,82,90
female,bachelor's degree,none,59,72,70
female,associate's degree,completed,57,78,79
male,high school,none,66,66,59
female,bachelor's degree,completed,79,81,82
female,some high school,none,57,67,72
male,bachelor's degree,completed,87,84,87
female,some college,none,63,64,67
female,some high school,completed,59,63,64
male,bachelor's degree,none,62,72,65
male,high school,none,46,34,36
male,some college,none,66,59,52
male,high school,none,89,87,79
female,associate's degree,completed,42,61,58
male,some college,completed,93,84,90
female,some high school,completed,80,85,85
female,some college,none,98,100,99
male,master's degree,none,81,81,84
female,some high school,completed,60,70,74
female,associate's degree,completed,76,94,87
male,associate's degree,completed,73,78,72
female,associate's degree,completed,96,96,99
female,high school,none,76,76,74
male,associate's degree,completed,91,73,80
female,some college,none,62,72,70
male,some high school,completed,55,59,59
female,some high school,completed,74,90,88
male,high school,none,50,48,42
male,some college,none,47,43,41
male,some college,completed,81,74,71
female,associate's degree,completed,65,75,77
male,some high school,completed,68,51,57
female,high school,none,73,92,84
male,some college,none,53,39,37
female,associate's degree,completed,68,77,80
male,some high school,none,55,46,43
female,some college,completed,87,89,94
male,some high school,none,55,47,44
female,some college,none,53,58,57
male,master's degree,none,67,57,59
male,associate's degree,none,92,79,84
female,some college,completed,53,66,73
male,associate's degree,none,81,71,73
male,high school,none,61,60,55
male,bachelor's degree,none,80,73,72
female,associate's degree,none,37,57,56
female,high school,none,81,84,82
female,associate's degree,completed,59,73,72
male,some college,none,55,55,47
male,associate's degree,none,72,79,74
male,high school,none,69,75,71
male,some college,none,69,64,68
female,bachelor's degree,none,50,60,59
male,some college,completed,87,84,86
male,some high school,completed,71,69,68
male,some college,none,68,72,65
male,master's degree,completed,79,77,75
female,some high school,completed,77,90,85
male,associate's degree,none,58,55,53
female,associate's degree,none,84,95,92
male,some college,none,55,58,52
male,bachelor's degree,completed,70,68,72
female,some college,completed,52,59,65
male,some college,completed,69,77,77
female,high school,none,53,72,64
female,some high school,none,48,58,54
male,some high school,completed,78,81,86
female,high school,none,62,62,63
male,some college,none,60,63,59
female,high school,none,74,72,72
female,high school,completed,58,75,77
male,high school,completed,76,62,60
female,some high school,none,68,71,75
male,some college,none,58,60,57
male,high school,none,52,48,49
male,bachelor's degree,none,75,73,74
female,some high school,completed,52,67,72
female,bachelor's degree,none,62,78,79
male,some college,none,66,65,60
female,some high school,none,49,58,55
female,high school,none,66,72,70
female,some college,none,35,44,43
female,some college,completed,72,79,82
male,associate's degree,completed,94,85,82
female,associate's degree,none,46,56,57
female,master's degree,none,77,90,84
female,high school,completed,76,85,82
female,associate's degree,completed,52,59,62
male,bachelor's degree,completed,91,81,79
female,some high school,completed,32,51,44
female,some high school,none,72,79,77
female,some college,none,19,38,32
male,associate's degree,none,68,65,61
female,master's degree,none,52,65,61
female,high school,none,48,62,60
female,some college,none,60,66,70
male,high school,none,66,74,69
male,some high school,completed,89,84,77
female,high school,none,42,52,51
female,associate's degree,completed,57,68,73
male,high school,none,70,70,70
female,associate's degree,none,70,84,81
male,some college,none,69,60,54
female,associate's degree,none,52,55,57
male,some high school,completed,67,73,68
male,some high school,completed,76,80,73
female,associate's degree,none,87,94,95
female,some college,none,82,85,87
female,some college,none,73,76,78
male,some college,none,75,81,74
female,some college,none,64,74,75
female,high school,none,41,45,40
male,high school,none,90,75,69
male,bachelor's degree,none,59,54,51
male,some high school,none,51,31,36
male,high school,none,45,47,49
female,master's degree,completed,54,64,67
male,some high school,completed,87,84,76
female,high school,none,72,80,83
male,some high school,completed,94,86,87
female,bachelor's degree,none,45,59,64
male,bachelor's degree,completed,61,70,76
female,high school,none,60,72,68
female,some high school,none,77,91,88
female,some high school,completed,85,90,92
female,bachelor's degree,none,78,90,93
male,some college,completed,49,52,51
female,high school,none,71,87,82
female,some high school,none,48,58,52
male,high school,none,62,67,58
female,associate's degree,completed,56,68,70
female,some high school,none,65,69,76
female,some high school,completed,69,86,81
male,some high school,none,68,54,53
female,some college,none,61,60,57
female,bachelor's degree,completed,74,86,89
male,bachelor's degree,none,64,60,58
female,high school,completed,77,82,89
male,some college,none,58,50,45
female,high school,completed,60,64,74
male,high school,none,73,64,57
female,high school,completed,75,82,79
male,associate's degree,completed,58,57,53
female,associate's degree,none,66,77,73
female,high school,none,39,52,46
male,some high school,none,64,58,51
female,high school,completed,23,44,36
male,some college,completed,74,77,76
female,some high school,completed,40,65,64
male,master's degree,none,90,85,84
male,master's degree,completed,91,85,85
male,high school,none,64,54,50
female,high school,none,59,72,68
male,associate's degree,none,80,75,69
male,master's degree,none,71,67,67
female,high school,none,61,68,63
female,some college,none,87,85,93
male,some high school,none,82,67,61
male,some high school,none,62,64,55
female,bachelor's degree,none,97,97,96
male,some college,none,75,68,65
female,bachelor's degree,none,65,79,81
male,high school,completed,52,49,46
male,associate's degree,none,87,73,72
female,associate's degree,none,53,62,53
female,master's degree,none,81,86,87
male,bachelor's degree,completed,39,42,38
female,some college,completed,71,71,80
male,associate's degree,none,97,93,91
male,some college,completed,82,82,88
male,high school,none,59,53,52
male,associate's degree,none,61,42,41
male,associate's degree,completed,78,74,72
male,associate's degree,none,49,51,51
male,high school,none,59,58,47
female,some college,completed,70,72,76
male,associate's degree,completed,82,84,78
male,associate's degree,none,90,90,82
female,bachelor's degree,none,43,62,61
male,some college,none,80,64,66
male,some college,none,81,82,84
male,some high school,none,57,61,54
female,some high school,none,59,72,80
female,associate's degree,none,64,76,74
male,bachelor's degree,completed,63,64,66
female,bachelor's degree,completed,71,70,70
female,high school,none,64,73,71
male,bachelor's degree,none,55,46,44
female,associate's degree,none,51,51,54
female,associate's degree,completed,62,76,80
female,associate's degree,completed,93,100,95
male,high school,none,54,72,59
female,some college,none,69,65,74
male,high school,none,44,51,48
female,some college,completed,86,85,91
female,associate's degree,none,85,92,85
female,master's degree,none,50,67,73
male,some high school,completed,88,74,75
female,associate's degree,none,59,62,69
female,some high school,none,32,34,38
male,high school,none,36,29,27
female,some high school,completed,63,78,79
male,associate's degree,completed,67,54,63
female,some high school,completed,65,78,82
male,master's degree,none,85,84,89
female,master's degree,none,73,78,74
female,high school,completed,34,48,41
female,bachelor's degree,completed,93,100,100
female,some high school,none,67,84,84
male,some college,none,88,77,77
male,high school,none,57,48,51
female,some college,completed,79,84,91
female,bachelor's degree,none,67,75,72
male,bachelor's degree,completed,70,64,70
male,bachelor's degree,none,50,42,48
female,some college,none,69,84,82
female,bachelor's degree,completed,52,61,66
female,bachelor's degree,completed,47,62,66
female,associate's degree,none,46,61,55
female,some college,none,68,70,66
male,bachelor's degree,completed,100,100,100
female,high school,none,44,61,52
female,associate's degree,completed,57,77,80
male,some college,completed,91,96,91
male,high school,none,69,70,67
female,high school,none,35,53,46
male,high school,none,72,66,66
female,associate's degree,none,54,65,65
male,high school,none,74,70,69
male,some high school,completed,74,64,60
male,associate's degree,none,64,56,52
female,high school,completed,65,61,71
male,associate's degree,completed,46,43,44
female,some high school,none,48,56,51
male,some college,completed,67,74,70
male,some college,none,62,57,62
male,associate's degree,completed,61,71,73
male,bachelor's degree,completed,70,75,74
male,associate's degree,completed,98,87,90
male,some college,none,70,63,58
male,associate's degree,none,67,57,53
female,high school,none,57,58,57
male,some college,completed,85,81,85
male,some high school,completed,77,68,69
male,master's degree,completed,72,66,72
female,master's degree,none,78,91,96
male,high school,none,81,66,64
male,some high school,completed,61,62,61
female,high school,none,58,68,61
female,associate's degree,none,54,61,58
male,high school,none,82,82,80
female,some college,none,49,58,60
male,some high school,completed,49,50,52
female,high school,completed,57,75,73
male,high school,none,94,73,71
female,some college,completed,75,77,83
female,some high school,none,74,74,72
male,high school,completed,58,52,54
female,some college,none,62,69,69
male,associate's degree,none,72,57,62
male,some college,none,84,87,81
female,master's degree,none,92,100,100
female,high school,none,45,63,59
male,high school,none,75,81,71
female,some college,none,56,58,64
female,some high school,none,48,54,53
female,associate's degree,none,100,100,100
female,some high school,completed,65,76,75
male,some college,none,72,57,58
female,some college,none,62,70,72
male,some high school,completed,66,68,64
male,some college,none,63,63,60
female,associate's degree,none,68,76,67
female,bachelor's degree,none,75,84,80
female,bachelor's degree,none,89,100,100
male,some high school,completed,78,72,69
female,high school,completed,53,50,60
female,some college,none,49,65,61
female,some college,none,54,63,67
female,some college,completed,64,82,77
male,some college,completed,60,62,60
male,associate's degree,none,62,65,58
male,high school,completed,55,41,48
female,associate's degree,none,91,95,94
female,high school,none,8,24,23
male,some high school,none,81,78,78
male,some high school,completed,79,85,86
female,some college,completed,78,87,91
female,some high school,none,74,75,82
male,high school,none,57,51,54
female,associate's degree,none,40,59,51
male,some high school,completed,81,75,76
female,some high school,none,44,45,45
female,some college,completed,67,86,83
male,high school,completed,86,81,75
female,some high school,completed,65,82,78
female,associate's degree,none,55,76,76
female,bachelor's degree,none,62,72,74
male,high school,none,63,63,62
female,master's degree,completed,88,99,95
male,high school,none,62,55,55
female,high school,completed,59,71,65
female,some college,completed,68,78,77
female,some college,none,77,86,86
